i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 19 	Training Cost: 13339.679688	 Val Cost: 289918.575715	 Valid Acc: 0.6675134067174711
Epoch: 20 	Training Cost: 13205.786133	 Val Cost: 285553.208260	 Valid Acc: 0.672311600338696
Epoch: 21 	Training Cost: 13042.911133	 Val Cost: 280541.464013	 Valid Acc: 0.6762630539091166
Epoch: 22 	Training Cost: 12945.476562	 Val Cost: 277053.350867	 Valid Acc: 0.6788032740615297
Epoch: 23 	Training Cost: 12865.452148	 Val Cost: 274223.203476	 Valid Acc: 0.6802145074795372
Epoch: 24 	Training Cost: 12793.591797	 Val Cost: 271928.339624	 Valid Acc: 0.6857183178097658
Epoch: 25 	Training Cost: 12765.457031	 Val Cost: 269135.937517	 Valid Acc: 0.6857183178097658
Epoch: 26 	Training Cost: 12700.698242	 Val Cost: 267663.575159	 Valid Acc: 0.6888230313293818
Epoch: 27 	Training Cost: 12660.937500	 Val Cost: 266330.793450	 Valid Acc: 0.6879762912785775
Epoch: 28 	Training Cost: 12622.611328	 Val Cost: 264203.666154	 Valid Acc: 0.6910810047981937
Epoch: 29 	Training Cost: 12608.539062	 Val Cost: 263139.534082	 Valid Acc: 0.6906576347727914
Epoch: 30 	Training Cost: 12604.918945	 Val Cost: 261849.572945	 Valid Acc: 0.6948913350268134
Epoch: 31 	Training Cost: 12571.263672	 Val Cost: 261185.773323	 Valid Acc: 0.6920688681907987
Epoch: 32 	Training Cost: 12564.840820	 Val Cost: 260062.577612	 Valid Acc: 0.6979960485464296
Epoch: 33 	Training Cost: 12551.683594	 Val Cost: 259098.336627	 Valid Acc: 0.6965848151284222
Epoch: 34 	Training Cost: 12520.916992	 Val Cost: 258913.012685	 Valid Acc: 0.6971493084956252
Epoch: 35 	Training Cost: 12523.786133	 Val Cost: 257207.492020	 Valid Acc: 0.6974315551792266
Epoch: 36 	Training Cost: 12496.293945	 Val Cost: 256419.448154	 Valid Acc: 0.6979960485464296
Epoch: 37 	Training Cost: 12491.031250	 Val Cost: 256048.469897	 Valid Acc: 0.6971493084956252
Epoch: 38 	Training Cost: 12462.137695	 Val Cost: 255448.496196	 Valid Acc: 0.6955969517358171
Epoch: 39 	Training Cost: 12476.724609	 Val Cost: 254671.101004	 Valid Acc: 0.6968670618120237
Epoch: 40 	Training Cost: 12460.394531	 Val Cost: 254210.650587	 Valid Acc: 0.6977138018628282
